PrYVO_05,intensity,PrYVO_05_90,intensity
9.06755806,3257,9.06755806,3430
9.09381863,3234,9.09381863,3284
9.1200792,3178,9.1200792,3305
9.14633977,3243,9.14633977,3290
9.17260034,3362,9.17260034,3254
9.19886091,3226,9.19886091,3318
9.22512148,3240,9.22512148,3270
9.25138205,3261,9.25138205,3222
9.27764262,3313,9.27764262,3275
9.30390319,3220,9.30390319,3318
9.33016376,3193,9.33016376,3252
9.35642433,3193,9.35642433,3269
9.3826849,3223,9.3826849,3166
9.40894547,3273,9.40894547,3247
9.43520604,3092,9.43520604,3314
9.46146661,3184,9.46146661,3254
9.48772718,3268,9.48772718,3384
9.51398775,3204,9.51398775,3220
9.54024832,3224,9.54024832,3234
9.56650889,3194,9.56650889,3121
9.59276946,3179,9.59276946,3280
9.61903003,3130,9.61903003,3190
9.6452906,3125,9.6452906,3192
9.67155117,3213,9.67155117,3234
9.69781174,3106,9.69781174,3246
9.72407231,3167,9.72407231,3281
9.75033288,3094,9.75033288,3175
9.77659345,3123,9.77659345,3214
9.80285402,3058,9.80285402,3189
9.82911459,3171,9.82911459,3259
9.85537516,3118,9.85537516,3185
9.88163573,3128,9.88163573,3170
9.9078963,3142,9.9078963,3170
9.93415687,3119,9.93415687,3217
9.96041744,3127,9.96041744,3191
9.98667801,3100,9.98667801,3093
10.01293858,3018,10.01293858,3031
10.03919915,3086,10.03919915,3078
10.06545972,3028,10.06545972,3214
10.09172029,3134,10.09172029,3120
10.11798086,3027,10.11798086,3228
10.14424143,3181,10.14424143,3087
10.170502,2987,10.170502,3044
10.19676257,3124,10.19676257,3124
10.22302314,3096,10.22302314,3161
10.24928371,2981,10.24928371,3102
10.27554428,3076,10.27554428,3100
10.30180485,3078,10.30180485,3044
10.32806542,2958,10.32806542,3081
10.35432599,3075,10.35432599,3080
10.38058656,3090,10.38058656,3075
10.40684713,2982,10.40684713,3101
10.4331077,3083,10.4331077,3072
10.45936827,2997,10.45936827,3027
10.48562884,3018,10.48562884,3114
10.51188941,2993,10.51188941,2985
10.53814998,2978,10.53814998,3098
10.56441055,2956,10.56441055,3046
10.59067112,2924,10.59067112,3059
10.61693169,2942,10.61693169,3064
10.64319226,2910,10.64319226,2986
10.66945283,2997,10.66945283,3013
10.6957134,3038,10.6957134,3050
10.72197397,3051,10.72197397,2957
10.74823454,2879,10.74823454,3027
10.77449511,2901,10.77449511,2936
10.80075568,2994,10.80075568,3044
10.82701625,2896,10.82701625,3100
10.85327682,2949,10.85327682,3050
10.87953739,2985,10.87953739,3001
10.90579796,2893,10.90579796,2950
10.93205853,2883,10.93205853,3037
10.9583191,2918,10.9583191,2952
10.98457967,2867,10.98457967,3046
11.01084024,2995,11.01084024,3003
11.03710081,2839,11.03710081,3000
11.06336138,2890,11.06336138,2881
11.08962195,2803,11.08962195,2944
11.11588252,2869,11.11588252,3026
11.14214309,2826,11.14214309,2832
11.16840366,2805,11.16840366,2813
11.19466423,2918,11.19466423,2924
11.2209248,2839,11.2209248,2975
11.24718537,2895,11.24718537,2930
11.27344594,2894,11.27344594,2855
11.29970651,2925,11.29970651,2963
11.32596708,2804,11.32596708,3018
11.35222765,2736,11.35222765,2830
11.37848822,2868,11.37848822,2883
11.40474879,2855,11.40474879,2804
11.43100936,2668,11.43100936,2826
11.45726993,2833,11.45726993,2896
11.4835305,2743,11.4835305,2877
11.50979107,2776,11.50979107,2819
11.53605164,2838,11.53605164,2808
11.56231221,2822,11.56231221,2809
11.58857278,2802,11.58857278,2806
11.61483335,2802,11.61483335,2855
11.64109392,2726,11.64109392,2835
11.66735449,2786,11.66735449,2888
11.69361506,2684,11.69361506,2757
11.71987563,2689,11.71987563,2832
11.7461362,2815,11.7461362,2877
11.77239677,2734,11.77239677,2799
11.79865734,2756,11.79865734,2879
11.82491791,2827,11.82491791,2731
11.85117848,2759,11.85117848,2900
11.87743905,2777,11.87743905,2715
11.90369962,2691,11.90369962,2796
11.92996019,2751,11.92996019,2678
11.95622076,2724,11.95622076,2730
11.98248133,2735,11.98248133,2785
12.0087419,2773,12.0087419,2687
12.03500247,2641,12.03500247,2792
12.06126304,2701,12.06126304,2825
12.08752361,2791,12.08752361,2736
12.11378418,2702,12.11378418,2820
12.14004475,2688,12.14004475,2833
12.16630532,2777,12.16630532,2719
12.19256589,2718,12.19256589,2767
12.21882646,2631,12.21882646,2677
